index,parcel_id,warehouse_id,distance_km,distance_m
1,1,1,10.219,10219
2,1,2,448.263,448263
3,1,3,449.0479,449047.9
4,1,4,443.7236,443723.6
5,1,5,165.7658,165765.8
6,1,6,547.0016,547001.6
7,1,7,546.0011,546001.1
8,1,8,103.8045,103804.5
9,1,9,1490.2394,1490239.4
10,1,10,1596.7203,1596720.3
11,1,11,1698.8901,1698890.1
12,2,1,7.4722,7472.2
13,2,2,445.1017,445101.7
14,2,3,445.8866,445886.6
15,2,4,440.5623,440562.3
16,2,5,162.6045,162604.5
17,2,6,548.1049,548104.9
18,2,7,547.1044,547104.4
19,2,8,103.9586,103958.6
20,2,9,1491.3428,1491342.8
21,2,10,1597.8237,1597823.7
22,2,11,1699.9935,1699993.5
23,3,1,9.3815,9381.5
24,3,2,447.0111,447011.1
25,3,3,447.7959,447795.9
26,3,4,442.4716,442471.6
27,3,5,164.5139,164513.9
28,3,6,546.9029,546902.9
29,3,7,545.9025,545902.5
30,3,8,104.7899,104789.9
31,3,9,1490.1408,1490140.8
32,3,10,1596.6217,1596621.7
33,4,11,1698.7915,1698791.5
34,4,1,9.4219,9421.9
35,4,2,449.6938,449693.8
36,4,3,450.4786,450478.6
37,4,4,445.1543,445154.3
38,4,5,167.1965,167196.5
39,4,6,554.0485,554048.5
40,4,7,553.048,553048
41,4,8,97.484,97484
42,4,9,1497.2864,1497286.4
43,4,10,1603.7673,1603767.3
44,4,11,1705.9371,1705937.1
45,5,1,450.7452,450745.2
46,5,2,7.7117,7711.7
47,5,3,7.3389,7338.9
48,5,4,12.3074,12307.4
49,5,5,292.65,292650
50,5,6,194.5881,194588.1
51,5,7,193.5877,193587.7
52,5,8,527.5977,527597.7
53,5,9,1083.7475,1083747.5
54,5,10,1190.2284,1190228.4
55,5,11,1292.3981,1292398.1
56,6,1,450.0382,450038.2
57,6,2,7.3527,7352.7
58,6,3,6.9896,6989.6
59,6,4,12.0083,12008.3
60,6,5,291.9429,291942.9
61,6,6,181.6742,181674.2
62,6,7,180.6737,180673.7
63,6,8,531.2505,531250.5
64,6,9,1070.8335,1070833.5
65,6,10,1177.3144,1177314.4
66,6,11,1279.4842,1279484.2
67,7,1,453.4651,453465.1
68,7,2,8.6053,8605.3
69,7,3,8.2422,8242.2
70,7,4,12.9886,12988.6
71,7,5,295.3699,295369.9
72,7,6,185.0429,185042.9
73,7,7,184.0425,184042.5
74,7,8,539.5594,539559.4
75,7,9,1074.2023,1074202.3
76,7,10,1180.6832,1180683.2
77,7,11,1282.8529,1282852.9
78,8,1,453.9606,453960.6
79,8,2,9.0186,9018.6
80,8,3,9.7736,9773.6
81,8,4,13.4842,13484.2
82,8,5,295.8654,295865.4
83,8,6,185.0371,185037.1
84,8,7,184.0366,184036.6
85,8,8,542.9402,542940.2
86,8,9,1074.1964,1074196.4
87,8,10,1180.6773,1180677.3
88,8,11,1282.8471,1282847.1
89,9,1,443.8663,443866.3
90,9,2,2.276,2276
91,9,3,1.9129,1912.9
92,9,4,6.1681,6168.1
93,9,5,285.771,285771
94,9,6,190.4491,190449.1
95,9,7,189.4486,189448.6
96,9,8,533.1313,533131.3
97,9,9,1079.6084,1079608.4
98,9,10,1186.0893,1186089.3
99,9,11,1288.2591,1288259.1
100,10,1,447.4808,447480.8
101,10,2,3.9284,3928.4
102,10,3,3.5653,3565.3
103,10,4,9.451,9451
104,10,5,289.3856,289385.6
105,10,6,191.696,191696
106,10,7,190.6956,190695.6
107,10,8,534.442,534442
108,10,9,1080.8554,1080855.4
109,10,10,1187.3363,1187336.3
110,10,11,1289.506,1289506
111,11,1,450.3989,450398.9
112,11,2,9.3015,9301.5
113,11,3,8.9287,8928.7
114,11,4,13.8972,13897.2
115,11,5,292.3037,292303.7
116,11,6,194.2418,194241.8
117,11,7,193.2414,193241.4
118,11,8,527.2514,527251.4
119,11,9,1083.4012,1083401.2
120,11,10,1189.8821,1189882.1
121,11,11,1292.0518,1292051.8
122,12,1,606.2967,606296.7
123,12,2,1030.8709,1030870.9
124,12,3,1030.4981,1030498.1
125,12,4,1020.7525,1020752.5
126,12,5,764.0714,764071.4
127,12,6,1048.7173,1048717.3
128,12,7,1047.7169,1047716.9
129,12,8,497.6973,497697.3
130,12,9,1991.9552,1991955.2
131,12,10,2098.4361,2098436.1
132,12,11,2200.6059,2200605.9
133,13,1,512.506,512506
134,13,2,937.0802,937080.2
135,13,3,936.7074,936707.4
136,13,4,926.9618,926961.8
137,13,5,670.2807,670280.7
138,13,6,954.9267,954926.7
139,13,7,953.9262,953926.2
140,13,8,403.9066,403906.6
141,13,9,1898.1646,1898164.6
142,13,10,2004.6455,2004645.5
143,13,11,2106.8152,2106815.2
